日付,PCR陽性者
2022-1-29,17515
2022-1-30,17072
2022-1-31,18333
2022-2-1,20268
2022-2-2,22904
2022-2-3,27442
2022-2-3,36362
2022-2-3,38670
2022-2-3,35275
2022-2-7,36718
2022-2-8,49558
2022-2-9,54122
2022-2-10,53926
2022-2-11,54122
2022-2-12,56425
2022-2-13,54616
2022-2-14,54122
2022-2-15,90430
2022-2-16,54122
2022-2-17,109828
2022-2-18,102203
2022-2-19,104828
2022-2-20,95347
2022-2-21,99550
2022-2-22,171448
2022-2-23,170006
2022-2-24,165889
2022-2-25,170006
2022-2-26,163558
2022-2-27,139615
2022-2-28,138993
2022-3-1,219237
2022-3-2,198802
2022-3-3,266838
2022-3-4,170006
2022-3-5,165889
2022-3-6,210713
2022-3-7,202714
2022-3-8,342427
2022-3-9,327532
2022-3-10,282976
2022-3-11,383651
2022-3-12,350176
2022-3-13,309769
2022-3-14,362328
2022-3-15,400725
2022-3-16,621317
